STATE,LGC,allocation
ABIA,ABA NORTH,"273,282,171.24"
ABIA,ABA SOUTH,"471,356,324.49"
ABIA,AROCHUKWU,"317,075,058.48"
ABIA,BENDE,"328,153,916.99"
ABIA,IKWUANO,"295,027,869.79"
ABIA,ISIALA NGWA NORTH,"305,144,464.14"
ABIA,ISIALA NGWA SOUTH,"293,993,850.83"
ABIA,ISUIKWUATO,"282,991,385.93"
ABIA,UMU-NNEOCHI,"311,713,899.02"
ABIA,OBINGWA,"320,488,688.86"
ABIA,OHAFIA,"357,573,193.04"
ABIA,OSISIOMA NGWA,"342,316,837.83"
ABIA,UGWUNAGBO,"256,492,443.04"
ABIA,UKWA EAST,"241,462,964.62"
ABIA,UKWA WEST,"257,187,160.53"
ABIA,UMUAHIA NORTH,"358,809,500.52"
ABIA,UMUAHIA SOUTH,"305,964,014.80"
ADAMAWA,DEMSA,"340,300,369.71"
ADAMAWA,FURORE,"380,913,383.39"
ADAMAWA,GANYE,"339,348,075.12"
ADAMAWA,GIREI,"308,392,469.25"
ADAMAWA,GOMBI,"313,597,720.93"
ADAMAWA,GUYUK,"334,400,023.80"
ADAMAWA,HONG,"342,591,090.44"
ADAMAWA,JADA,"348,864,570.92"
ADAMAWA,YOLA NORTH,"341,271,163.95"
ADAMAWA,LAMURDE,"294,028,805.22"
ADAMAWA,MADAGALI,"304,601,897.74"
ADAMAWA,MAIHA,"292,818,406.19"
ADAMAWA,MAYO-BELWA,"327,695,344.11"
ADAMAWA,MICHIKA,"324,484,678.95"
ADAMAWA,MUBI NORTH,"316,906,733.12"
ADAMAWA,MUBI SOUTH,"299,739,946.30"
ADAMAWA,NUMAN,"278,946,653.62"
ADAMAWA,SHELLENG,"316,483,214.28"
ADAMAWA,SONG,"365,682,174.68"
ADAMAWA,TOUNGO,"287,843,581.14"
ADAMAWA,YOLA SOUTH,"340,044,328.72"
AKWA IBOM,ABAK,"303,640,851.96"
AKWA IBOM,EASTERN OBOLO,"245,829,226.02"
AKWA IBOM,EKET,"320,634,261.81"
AKWA IBOM,NSIT ATAI,"252,539,259.49"
AKWA IBOM,ESSIEN UDIM,"332,383,163.43"
AKWA IBOM,ETIM EKPO,"281,256,221.92"
AKWA IBOM,ETINAN,"321,660,995.53"
AKWA IBOM,IBENO,"259,070,410.19"
AKWA IBOM,IBESIKPO ASUTAN,"299,952,447.45"
AKWA IBOM,IBIONO IBOM,"331,198,698.81"
AKWA IBOM,IKA,"255,201,429.71"
AKWA IBOM,IKONO,"296,754,121.50"
AKWA IBOM,IKOT ABASI,"296,834,438.46"
AKWA IBOM,IKOT EKPENE,"304,905,894.65"
AKWA IBOM,INI,"277,041,057.48"
AKWA IBOM,ITU,"290,381,779.26"
AKWA IBOM,MBO,"273,720,710.46"
AKWA IBOM,MKPAT ENIN,"328,686,791.82"
AKWA IBOM,NSIT IBOM,"279,431,419.38"
AKWA IBOM,NSIT UBIUM,"292,921,132.91"
AKWA IBOM,OBOT AKARA,"305,488,627.33"
AKWA IBOM,OKOBO,"271,105,587.94"
AKWA IBOM,ONNA,"283,309,741.14"
AKWA IBOM,ORON,"271,746,443.96"
AKWA IBOM,ORUK ANAM,"325,127,453.06"
AKWA IBOM,UDUNG UKO,"244,702,453.46"
AKWA IBOM,UKANAFUN,"295,890,886.33"
AKWA IBOM,ESIT EKET,"248,854,651.46"
AKWA IBOM,URUAN,"299,980,594.97"
AKWA IBOM,URUE OFFONG/ORUK,"259,490,210.83"
AKWA IBOM,UYO,"407,318,518.94"
ANAMBRA,AGUATA,"466,412,458.00"
ANAMBRA,ANAMBRA EAST,"318,812,943.00"
ANAMBRA,ANAMBRA WEST,"327,794,077.08"
ANAMBRA,ANAOCHA,"399,790,639.33"
ANAMBRA,AWKA NORTH,"296,101,069.60"
ANAMBRA,AWKA SOUTH,"343,290,286.65"
ANAMBRA,AYAMELUM,"321,714,635.21"
ANAMBRA,DUNUKOFIA,"284,518,294.59"
ANAMBRA,EKWUSIGO,"320,815,874.05"
ANAMBRA,IDEMILI NORTH,"497,778,946.84"
ANAMBRA,IDEMILI SOUTH,"352,199,383.34"
ANAMBRA,IHIALA,"418,659,574.22"
ANAMBRA,NJIKOKA,"315,492,934.93"
ANAMBRA,NNEWI NORTH,"318,090,695.07"
ANAMBRA,NNEWI SOUTH,"371,492,458.46"
ANAMBRA,OGBARU,"360,616,275.03"
ANAMBRA,ONITSHA NORTH,"300,623,964.60"
ANAMBRA,ONITSHA SOUTH,"309,306,672.65"
ANAMBRA,ORUMBA NORTH,"332,702,022.63"
ANAMBRA,ORUMBA SOUTH,"340,046,868.25"
ANAMBRA,OYI,"327,419,328.70"
BAUCHI,ALKALERI,"458,524,146.85"
BAUCHI,BAUCHI,"566,094,290.92"
BAUCHI,BOGORO,"264,763,487.57"
BAUCHI,DAMBAN,"310,835,923.43"
BAUCHI,DARAZO,"385,025,952.82"
BAUCHI,DASS,"266,240,406.47"
BAUCHI,GAMAWA,"407,945,040.90"
BAUCHI,GANJUWA,"395,381,573.83"
BAUCHI,GIADE,"307,016,073.29"
BAUCHI,ITAS/GADAU,"353,585,069.16"
BAUCHI,JAMA'ARE,"277,695,044.73"
BAUCHI,KATAGUM,"407,340,974.36"
BAUCHI,KIRFI,"319,018,042.65"
BAUCHI,MISAU,"387,874,894.56"
